epoch,lr-AdamW,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.0016386305364763467,0,,,,,,,
0,,9,,0.1280180662870407,,,,,
0,,19,,0.10016843676567078,,,,,
0,,29,,0.11195973306894302,,,,,
0,,39,,0.11213934421539307,,,,,
0,,49,,0.10314349085092545,,,,,
0,,59,,0.09148024767637253,,,,,
0,,69,,0.10445916652679443,,,,,
0,,79,,0.09940081834793091,,,,,
0,,89,,0.104464590549469,,,,,
0,,99,,0.10344298928976059,,,,,
0,,99,,,0.2529214918613434,134.5164031982422,0.32457107305526733,0.6019144058227539,0.1544256955385208
0,,99,0.10952015966176987,,,,,,
,0.0016386305364763467,100,,,,,,,
1,,109,,0.1031411662697792,,,,,
1,,119,,0.0844627320766449,,,,,
1,,129,,0.08471060544252396,,,,,
1,,139,,0.09296303987503052,,,,,
1,,149,,0.09501159191131592,,,,,
1,,159,,0.08854382485151291,,,,,
1,,169,,0.09922489523887634,,,,,
1,,179,,0.08732213824987411,,,,,
1,,189,,0.08806812763214111,,,,,
1,,199,,0.09808985143899918,,,,,
1,,199,,,0.2135494202375412,59.22758865356445,0.30423009395599365,0.5422665476799011,0.12678498029708862
1,,199,0.09429021179676056,,,,,,
,0.0016386305364763467,200,,,,,,,
2,,209,,0.09385946393013,,,,,
2,,219,,0.08815381675958633,,,,,
2,,229,,0.10408780723810196,,,,,
2,,239,,0.08432221412658691,,,,,
2,,249,,0.08755850791931152,,,,,
2,,259,,0.08607253432273865,,,,,
2,,269,,0.08747317641973495,,,,,
2,,279,,0.09272821992635727,,,,,
2,,289,,0.08532807976007462,,,,,
2,,299,,0.08999654650688171,,,,,
2,,299,,,0.1624501794576645,33.348594665527344,0.25253525376319885,0.4822748303413391,0.10584229230880737
2,,299,0.0904211699962616,,,,,,
,0.0016386305364763467,300,,,,,,,
3,,309,,0.0871647298336029,,,,,
3,,319,,0.08403521776199341,,,,,
3,,329,,0.08921778202056885,,,,,
3,,339,,0.07874882966279984,,,,,
3,,349,,0.08957947045564651,,,,,
3,,359,,0.08410876989364624,,,,,
3,,369,,0.09223572164773941,,,,,
3,,379,,0.10245418548583984,,,,,
3,,389,,0.08920643478631973,,,,,
3,,399,,0.0835217833518982,,,,,
3,,399,,,0.1626705676317215,35.00166702270508,0.2522711455821991,0.48974886536598206,0.10346218198537827
3,,399,0.08926835656166077,,,,,,
,0.0016386305364763467,400,,,,,,,
4,,409,,0.08046020567417145,,,,,
4,,419,,0.09400525689125061,,,,,
4,,429,,0.09087881445884705,,,,,
4,,439,,0.09571189433336258,,,,,
4,,449,,0.08694573491811752,,,,,
4,,459,,0.08298809081315994,,,,,
4,,469,,0.09788145869970322,,,,,
4,,479,,0.11243628710508347,,,,,
4,,489,,0.09215850383043289,,,,,
4,,499,,0.07975545525550842,,,,,
4,,499,,,0.17938843369483948,38.82793045043945,0.2693743109703064,0.49311065673828125,0.10946328938007355
4,,499,0.08834974467754364,,,,,,
,0.0016386305364763467,500,,,,,,,
5,,509,,0.08596082776784897,,,,,
5,,519,,0.08921495825052261,,,,,
5,,529,,0.08612638711929321,,,,,
5,,539,,0.08771859854459763,,,,,
5,,549,,0.08725883811712265,,,,,
5,,559,,0.08561643958091736,,,,,
5,,569,,0.09238618612289429,,,,,
5,,579,,0.09843212366104126,,,,,
5,,589,,0.08303958177566528,,,,,
5,,599,,0.07732755690813065,,,,,
5,,599,,,0.1713753491640091,36.030582427978516,0.2587137818336487,0.4910491406917572,0.10382966697216034
5,,599,0.08683660626411438,,,,,,
,0.0016386305364763467,600,,,,,,,
6,,609,,0.08356056362390518,,,,,
6,,619,,0.08929857611656189,,,,,
6,,629,,0.09587936848402023,,,,,
6,,639,,0.09277572482824326,,,,,
6,,649,,0.09357920289039612,,,,,
6,,659,,0.08044397830963135,,,,,
6,,669,,0.08898148685693741,,,,,
6,,679,,0.08522513508796692,,,,,
6,,689,,0.08554348349571228,,,,,
6,,699,,0.08557140827178955,,,,,
6,,699,,,0.1594754308462143,36.60087585449219,0.2518964409828186,0.47897475957870483,0.09969166666269302
6,,699,0.08715085685253143,,,,,,
,0.0016386305364763467,700,,,,,,,
7,,709,,0.08861148357391357,,,,,
7,,719,,0.0787016898393631,,,,,
7,,729,,0.08729442209005356,,,,,
7,,739,,0.0827922448515892,,,,,
7,,749,,0.08673230558633804,,,,,
7,,759,,0.08288996666669846,,,,,
7,,769,,0.08581919223070145,,,,,
7,,779,,0.07850165665149689,,,,,
7,,789,,0.09042808413505554,,,,,
7,,799,,0.08462364226579666,,,,,
7,,799,,,0.16152498126029968,45.17485046386719,0.24729280173778534,0.4814407229423523,0.10774208605289459
7,,799,0.08542826026678085,,,,,,
,0.0016386305364763467,800,,,,,,,
8,,809,,0.07510923594236374,,,,,
8,,819,,0.08389725536108017,,,,,
8,,829,,0.08085759729146957,,,,,
8,,839,,0.09042477607727051,,,,,
8,,849,,0.0843399167060852,,,,,
8,,859,,0.08821598440408707,,,,,
8,,869,,0.09625410288572311,,,,,
8,,879,,0.0879564881324768,,,,,
8,,889,,0.08349894732236862,,,,,
8,,899,,0.0813816487789154,,,,,
8,,899,,,0.1556563824415207,41.81836700439453,0.24219734966754913,0.4753800928592682,0.09781786799430847
8,,899,0.08553531020879745,,,,,,
,0.0016386305364763467,900,,,,,,,
9,,909,,0.09482457488775253,,,,,
9,,919,,0.09333602339029312,,,,,
9,,929,,0.09059649705886841,,,,,
9,,939,,0.08330211043357849,,,,,
9,,949,,0.0784008577466011,,,,,
9,,959,,0.08603555709123611,,,,,
9,,969,,0.08511199802160263,,,,,
9,,979,,0.08612736314535141,,,,,
9,,989,,0.07769252359867096,,,,,
9,,999,,0.08134498447179794,,,,,
9,,999,,,0.16366514563560486,45.097835540771484,0.2476280927658081,0.48521965742111206,0.10268349945545197
9,,999,0.08539298176765442,,,,,,
